year,statefips,date1,ozone
2011,20,13jan2011,29.904108
2011,21,13jan2011,27.888655
2011,22,13jan2011,35.094147
2011,23,13jan2011,35.340595
2011,24,13jan2011,34.332344
2011,25,13jan2011,33.987526
2011,26,13jan2011,28.403091
2011,27,13jan2011,27.88839
2011,28,13jan2011,32.618805
2011,29,13jan2011,27.639441
2011,30,13jan2011,30.603046
2011,31,13jan2011,31.395964
2011,32,13jan2011,25.47925
2011,33,13jan2011,36.181419
2011,34,13jan2011,31.08095
2011,35,13jan2011,35.17725
2011,36,13jan2011,29.377964
2011,37,13jan2011,34.526066
2011,38,13jan2011,31.767756
2011,39,13jan2011,26.83173
2011,40,13jan2011,30.768044
2011,41,13jan2011,29.340754
2011,42,13jan2011,33.334938
2011,44,13jan2011,35.630608
2011,45,13jan2011,35.882545
2011,46,13jan2011,35.4254
2011,47,13jan2011,34.483727
2011,48,13jan2011,24.006998
2011,49,13jan2011,18.91445
2011,50,13jan2011,37.470928
2011,51,13jan2011,34.785686
2011,53,13jan2011,32.387016
2011,54,13jan2011,35.079784
2011,55,13jan2011,33.40546
2011,56,13jan2011,44.046112
2011,1,14jan2011,33.066753
2011,4,14jan2011,34.922527
2011,5,14jan2011,31.161942
2011,6,14jan2011,22.575069
2011,8,14jan2011,36.982647
2011,9,14jan2011,31.967958
2011,10,14jan2011,29.466011
2011,11,14jan2011,28.906195
2011,12,14jan2011,39.263081
2011,13,14jan2011,33.192242
2011,16,14jan2011,23.639847
2011,17,14jan2011,19.989935
2011,18,14jan2011,17.880581
2011,19,14jan2011,28.797245
2011,20,14jan2011,18.694662
2011,21,14jan2011,30.419647
2011,22,14jan2011,31.603252
2011,23,14jan2011,33.741131
2011,24,14jan2011,30.43111
2011,25,14jan2011,28.008097
2011,26,14jan2011,21.570097
2011,27,14jan2011,28.648531
2011,28,14jan2011,29.120914
2011,29,14jan2011,24.037653
2011,30,14jan2011,30.820929
2011,31,14jan2011,26.083776
2011,32,14jan2011,30.993046
2011,33,14jan2011,34.427605
2011,34,14jan2011,28.321096
2011,35,14jan2011,36.407669
2011,36,14jan2011,26.316727
2011,37,14jan2011,32.608101
2011,38,14jan2011,31.548002
2011,39,14jan2011,22.273428
2011,40,14jan2011,25.690144
2011,41,14jan2011,27.556355
2011,42,14jan2011,28.513683
2011,44,14jan2011,29.541098
2011,45,14jan2011,35.153908
2011,46,14jan2011,34.684391
2011,47,14jan2011,35.240383
2011,48,14jan2011,25.52331
2011,49,14jan2011,18.282913
2011,50,14jan2011,37.192295
2011,51,14jan2011,33.891258
2011,53,14jan2011,30.148186
2011,54,14jan2011,27.851452
2011,55,14jan2011,26.475426
2011,56,14jan2011,42.1964
2011,1,15jan2011,32.88084
2011,4,15jan2011,38.737232
2011,5,15jan2011,31.838753
2011,6,15jan2011,25.930843
2011,8,15jan2011,29.132841
2011,9,15jan2011,27.655216
2011,10,15jan2011,29.288084
2011,11,15jan2011,27.305092
2011,12,15jan2011,42.227646
2011,13,15jan2011,38.104305
2011,16,15jan2011,30.45153
2011,17,15jan2011,25.294035
2011,18,15jan2011,23.013365
2011,19,15jan2011,30.670637
2011,20,15jan2011,32.189754
2011,21,15jan2011,31.855911
2011,22,15jan2011,33.974747
2011,23,15jan2011,36.045204
2011,24,15jan2011,29.096834
2011,25,15jan2011,29.460323
2011,26,15jan2011,32.773918
2011,27,15jan2011,31.365028
2011,28,15jan2011,32.984802
2011,29,15jan2011,29.678717
2011,30,15jan2011,31.628853
2011,31,15jan2011,31.447363
2011,32,15jan2011,30.852991
2011,33,15jan2011,33.889797
2011,34,15jan2011,25.660732
2011,35,15jan2011,39.672485
2011,36,15jan2011,25.411652
2011,37,15jan2011,36.385956
2011,38,15jan2011,32.171879
2011,39,15jan2011,29.823717
2011,40,15jan2011,29.233595
2011,41,15jan2011,27.146423
2011,42,15jan2011,28.997396
2011,44,15jan2011,32.215744
2011,45,15jan2011,39.159405
2011,46,15jan2011,31.836784
2011,47,15jan2011,36.525837
2011,48,15jan2011,24.129566
2011,49,15jan2011,19.275812
2011,50,15jan2011,36.347061
2011,51,15jan2011,33.433182
2011,53,15jan2011,27.519196
2011,54,15jan2011,35.631554
2011,55,15jan2011,32.852448
2011,56,15jan2011,38.499714
2011,1,16jan2011,34.686878
2011,4,16jan2011,33.461681
2011,5,16jan2011,22.519848
2011,6,16jan2011,21.859301
2011,8,16jan2011,36.221069
2011,9,16jan2011,34.249187
2011,10,16jan2011,35.33699
2011,11,16jan2011,31.961292
2011,12,16jan2011,41.299965
2011,13,16jan2011,38.060104
2011,16,16jan2011,31.149862
2011,17,16jan2011,27.600578
2011,18,16jan2011,24.119623
2011,19,16jan2011,32.581329
2011,20,16jan2011,30.231863
2011,21,16jan2011,28.514898
2011,22,16jan2011,32.747292
2011,23,16jan2011,34.209042
2011,24,16jan2011,33.666195
2011,25,16jan2011,32.507328
2011,26,16jan2011,35.738518
2011,27,16jan2011,35.189774
2011,28,16jan2011,30.21744
2011,29,16jan2011,25.421589
2011,30,16jan2011,32.516369
2011,31,16jan2011,30.827547
2011,32,16jan2011,23.429623
2011,33,16jan2011,34.716591
2011,34,16jan2011,34.990368
2011,35,16jan2011,39.374138
2011,36,16jan2011,33.192482
2011,37,16jan2011,37.047771
2011,38,16jan2011,33.923988
2011,39,16jan2011,35.273186
2011,40,16jan2011,27.998367
2011,41,16jan2011,29.898685
2011,42,16jan2011,36.988102
2011,44,16jan2011,35.303982
2011,45,16jan2011,39.369904
2011,46,16jan2011,34.009388
2011,47,16jan2011,30.496824
2011,48,16jan2011,24.806524
2011,49,16jan2011,15.088249
2011,50,16jan2011,34.917416
2011,51,16jan2011,32.351345
2011,53,16jan2011,32.387814
2011,54,16jan2011,34.916401
2011,55,16jan2011,35.907902
2011,56,16jan2011,39.798157
2011,1,17jan2011,32.298256
2011,4,17jan2011,29.321541
2011,5,17jan2011,21.50568
2011,6,17jan2011,18.5278
2011,8,17jan2011,41.746433
2011,9,17jan2011,35.169601
2011,10,17jan2011,30.349522
2011,11,17jan2011,25.749037
2011,12,17jan2011,30.793669
2011,13,17jan2011,27.607637
2011,16,17jan2011,35.350445
2011,17,17jan2011,21.43173
2011,18,17jan2011,20.616489
2011,19,17jan2011,29.033134
2011,20,17jan2011,25.406757
2011,21,17jan2011,25.510134
2011,22,17jan2011,37.817188
2011,23,17jan2011,31.311903
2011,24,17jan2011,28.602762
2011,25,17jan2011,33.57914
2011,26,17jan2011,29.196835
2011,27,17jan2011,34.404903
2011,28,17jan2011,33.81517
2011,29,17jan2011,21.445141
2011,30,17jan2011,32.391766
2011,31,17jan2011,31.118443
2011,32,17jan2011,26.074726
2011,33,17jan2011,34.367111
2011,34,17jan2011,32.020523
2011,35,17jan2011,35.869583
2011,36,17jan2011,32.057652
2011,37,17jan2011,27.2631
2011,38,17jan2011,35.35556
2011,39,17jan2011,24.591438
2011,40,17jan2011,26.86628
2011,41,17jan2011,32.619747
2011,42,17jan2011,31.341913
2011,44,17jan2011,35.05471
2011,45,17jan2011,27.728811
2011,46,17jan2011,35.468952
2011,47,17jan2011,29.547131
2011,48,17jan2011,24.391474
2011,49,17jan2011,28.306477
2011,50,17jan2011,36.515366
2011,51,17jan2011,30.724812
2011,53,17jan2011,33.256435
2011,54,17jan2011,31.421034
2011,55,17jan2011,27.149883
2011,56,17jan2011,39.970253
2011,1,18jan2011,24.982378
2011,4,18jan2011,31.321875
2011,5,18jan2011,22.297493
2011,6,18jan2011,23.902411
2011,8,18jan2011,43.12812
2011,9,18jan2011,24.554155
2011,10,18jan2011,26.770828
2011,11,18jan2011,14.031201
2011,12,18jan2011,31.668993
2011,13,18jan2011,16.870342
2011,16,18jan2011,30.791805
2011,17,18jan2011,26.68574
2011,18,18jan2011,19.32626
2011,19,18jan2011,32.291561
2011,20,18jan2011,29.387972
2011,21,18jan2011,22.910368
2011,22,18jan2011,29.302643
2011,23,18jan2011,30.5595
2011,24,18jan2011,20.262676
2011,25,18jan2011,29.727274
2011,26,18jan2011,28.442995
2011,27,18jan2011,32.030575
2011,28,18jan2011,29.239191
2011,29,18jan2011,26.754272
2011,30,18jan2011,31.448008
2011,31,18jan2011,30.264725
2011,32,18jan2011,30.382448
2011,33,18jan2011,30.877007
2011,34,18jan2011,21.501392
2011,35,18jan2011,41.297821
2011,36,18jan2011,22.180004
2011,37,18jan2011,22.357372
2011,38,18jan2011,34.656609
2011,39,18jan2011,21.445158
2011,40,18jan2011,26.66258
2011,41,18jan2011,24.366671
2011,42,18jan2011,23.804613
2011,44,18jan2011,30.270073
