year,statefips,date1,pm
2011,48,12jan2011,8.0052271
2011,49,12jan2011,23.254929
2011,50,12jan2011,6.7369981
2011,51,12jan2011,7.8043809
2011,53,12jan2011,5.2149692
2011,54,12jan2011,10.361503
2011,55,12jan2011,5.0838227
2011,56,12jan2011,10.396427
2011,1,13jan2011,10.261094
2011,4,13jan2011,9.3263216
2011,5,13jan2011,14.729715
2011,6,13jan2011,14.539281
2011,8,13jan2011,7.4130964
2011,9,13jan2011,3.4717855
2011,10,13jan2011,9.5572462
2011,11,13jan2011,8.6013412
2011,12,13jan2011,9.5461121
2011,13,13jan2011,11.283308
2011,16,13jan2011,10.351295
2011,17,13jan2011,16.220854
2011,18,13jan2011,16.505156
2011,19,13jan2011,14.840035
2011,20,13jan2011,17.115667
2011,21,13jan2011,13.649416
2011,22,13jan2011,10.903138
2011,23,13jan2011,4.533288
2011,24,13jan2011,6.6074591
2011,25,13jan2011,4.4443474
2011,26,13jan2011,11.524137
2011,27,13jan2011,13.732403
2011,28,13jan2011,10.602134
2011,29,13jan2011,16.471462
2011,30,13jan2011,6.9446893
2011,31,13jan2011,13.722145
2011,32,13jan2011,12.155767
2011,33,13jan2011,3.132473
2011,34,13jan2011,4.5240922
2011,35,13jan2011,6.8771586
2011,36,13jan2011,3.7999041
2011,37,13jan2011,9.1461782
2011,38,13jan2011,9.5711651
2011,39,13jan2011,11.978682
2011,40,13jan2011,14.318797
2011,41,13jan2011,4.0709987
2011,42,13jan2011,5.6248341
2011,44,13jan2011,4.0496607
2011,45,13jan2011,9.3465862
2011,46,13jan2011,10.792609
2011,47,13jan2011,10.795994
2011,48,13jan2011,11.190473
2011,49,13jan2011,32.652363
2011,50,13jan2011,4.350596
2011,51,13jan2011,6.8521147
2011,53,13jan2011,3.2953823
2011,54,13jan2011,8.6684418
2011,55,13jan2011,10.602004
2011,56,13jan2011,8.1691847
2011,1,14jan2011,12.962266
2011,4,14jan2011,10.539785
2011,5,14jan2011,13.371511
2011,6,14jan2011,12.09346
2011,8,14jan2011,9.6025667
2011,9,14jan2011,7.7859349
2011,10,14jan2011,9.8888216
2011,11,14jan2011,15.047271
2011,12,14jan2011,8.9251032
2011,13,14jan2011,14.333845
2011,16,14jan2011,12.533597
2011,17,14jan2011,23.026794
2011,18,14jan2011,19.514074
2011,19,14jan2011,25.935705
2011,20,14jan2011,18.970482
2011,21,14jan2011,14.877493
2011,22,14jan2011,12.565397
2011,23,14jan2011,7.6744132
2011,24,14jan2011,12.631789
2011,25,14jan2011,8.5099649
2011,26,14jan2011,22.888065
2011,27,14jan2011,22.117249
2011,28,14jan2011,11.456903
2011,29,14jan2011,19.675762
2011,30,14jan2011,8.9556808
2011,31,14jan2011,19.505875
2011,32,14jan2011,11.73168
2011,33,14jan2011,7.8099356
2011,34,14jan2011,11.226353
2011,35,14jan2011,7.5276036
2011,36,14jan2011,10.010031
2011,37,14jan2011,13.888129
2011,38,14jan2011,11.415197
2011,39,14jan2011,21.517344
2011,40,14jan2011,13.080909
2011,41,14jan2011,4.4693928
2011,42,14jan2011,14.342813
2011,44,14jan2011,6.2579336
2011,45,14jan2011,16.547531
2011,46,14jan2011,13.260066
2011,47,14jan2011,13.221037
2011,48,14jan2011,13.439354
2011,49,14jan2011,38.270733
2011,50,14jan2011,7.9498353
2011,51,14jan2011,11.659368
2011,53,14jan2011,3.5106466
2011,54,14jan2011,12.894886
2011,55,14jan2011,23.869001
2011,56,14jan2011,10.407735
2011,1,15jan2011,12.518188
2011,4,15jan2011,6.2180643
2011,5,15jan2011,16.074142
2011,6,15jan2011,12.549679
2011,8,15jan2011,8.1204367
2011,9,15jan2011,22.630003
2011,10,15jan2011,20.128328
2011,11,15jan2011,13.469332
2011,12,15jan2011,8.7063398
2011,13,15jan2011,14.811365
2011,16,15jan2011,13.327912
2011,17,15jan2011,24.663012
2011,18,15jan2011,23.80871
2011,19,15jan2011,15.264261
2011,20,15jan2011,17.633711
2011,21,15jan2011,14.734152
2011,22,15jan2011,12.376633
2011,23,15jan2011,11.774788
2011,24,15jan2011,16.618769
2011,25,15jan2011,14.338061
2011,26,15jan2011,17.275755
2011,27,15jan2011,7.5881906
2011,28,15jan2011,13.212592
2011,29,15jan2011,19.258593
2011,30,15jan2011,7.8989654
2011,31,15jan2011,9.7889509
2011,32,15jan2011,8.3313732
2011,33,15jan2011,11.924911
2011,34,15jan2011,20.274548
2011,35,15jan2011,5.6089501
2011,36,15jan2011,16.328529
2011,37,15jan2011,14.287709
2011,38,15jan2011,4.3344865
2011,39,15jan2011,21.12705
2011,40,15jan2011,15.651216
2011,41,15jan2011,6.760788
2011,42,15jan2011,20.315804
2011,44,15jan2011,13.791965
2011,45,15jan2011,15.594207
2011,46,15jan2011,5.8569112
2011,47,15jan2011,11.907821
2011,48,15jan2011,12.060869
2011,49,15jan2011,38.589382
2011,50,15jan2011,12.720893
2011,51,15jan2011,11.29646
2011,53,15jan2011,5.1415133
2011,54,15jan2011,10.953314
2011,55,15jan2011,17.498789
2011,56,15jan2011,5.3203053
2011,1,16jan2011,16.231836
2011,4,16jan2011,8.2785397
2011,5,16jan2011,23.588015
2011,6,16jan2011,15.779237
2011,8,16jan2011,4.8453016
2011,9,16jan2011,10.074929
2011,10,16jan2011,16.49655
2011,11,16jan2011,13.321948
2011,12,16jan2011,10.617185
2011,13,16jan2011,15.295094
2011,16,16jan2011,8.4702978
2011,17,16jan2011,13.653583
2011,18,16jan2011,20.080385
2011,19,16jan2011,13.35385
2011,20,16jan2011,16.431364
2011,21,16jan2011,23.7355
2011,22,16jan2011,11.270103
2011,23,16jan2011,12.117534
2011,24,16jan2011,12.222692
2011,25,16jan2011,13.710089
2011,26,16jan2011,5.5493197
